row,column
76,443
75,350
161,443
169,323
128,310
101,399
56,394
61,178
63,218
137,245
77,288
226,282
240,382
353,279
262,346
370,403
398,287
337,347
276,443
196,459
227,424
187,383
139,385
131,346
268,337
208,307
173,242
286,233
296,272
379,251
495,207
475,286
438,243
407,231
482,229
384,393
413,371
383,354
449,304
459,337
401,329
351,320
315,313
328,449
295,372
290,416
329,400
106,269
144,267
173,280
168,305
219,253
164,217
113,51
168,40
251,28
168,95
80,116
29,120
69,138
35,68
37,40
125,67
66,50
317,80
286,134
226,84
252,116
217,139
321,177
153,134
103,147
142,13
211,59
340,53
381,134
439,68
389,17
386,71
443,127
488,26
471,21
440,35
409,47
427,152
363,177
327,126
270,90
288,37
327,28
200,20
72,28
176,70
209,100
259,54
325,64
365,116
461,97
421,112
478,66
31,288
28,391
37,462
48,423
77,465
51,203
152,190
187,186
227,197
256,214
298,239
338,254
388,215
364,228
422,206
443,201
477,191
501,183
380,491
288,493
217,502
279,475
401,451
489,363
450,355
482,291
415,298
452,264
28,201
26,339
53,256
117,237
111,217
98,205
32,134
62,159
90,160
141,148
173,146
241,162
296,195
403,170
455,155
489,143
494,129
461,143
318,101
354,96
289,68
229,348
