Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,126.400002,127.849998,121.750000,124.949997,123.958107,3962945
2021-08-24,125.000000,126.599998,123.699997,125.900002,124.900566,2267111
2021-08-25,126.400002,127.500000,125.500000,126.099998,125.098976,2196439
2021-08-26,126.750000,126.750000,124.550003,125.699997,124.702148,1732369
2021-08-27,126.250000,127.599998,125.199997,127.199997,126.190239,1904365
2021-08-30,128.199997,130.100006,128.050003,129.100006,128.075165,1145144
2021-08-31,131.399994,131.399994,128.250000,129.050003,128.025558,1861920
2021-09-01,129.699997,134.250000,128.699997,133.399994,132.341019,3314447
2021-09-02,134.449997,134.750000,132.649994,133.600006,132.539444,2461881
2021-09-03,134.399994,135.399994,133.250000,133.850006,132.787460,2629714
2021-09-06,134.550003,134.649994,131.949997,132.149994,131.100937,2284264
2021-09-07,132.500000,132.500000,129.300003,130.050003,129.017624,2671261
2021-09-08,130.899994,133.449997,129.500000,133.199997,132.142609,2171159
2021-09-09,133.300003,134.300003,131.750000,132.750000,131.696182,1508235
2021-09-13,133.000000,133.000000,130.399994,131.000000,129.960083,1578635
2021-09-14,131.800003,133.250000,131.350006,133.000000,131.944199,866763
2021-09-15,133.250000,142.300003,132.949997,139.949997,138.839035,8251325
2021-09-16,140.449997,142.000000,138.500000,140.250000,139.136642,1749277
2021-09-17,140.750000,141.449997,136.100006,137.899994,136.805298,2895519
2021-09-20,137.800003,139.350006,133.350006,134.449997,133.382690,2619153
2021-09-21,134.899994,136.300003,131.199997,135.850006,134.771591,3371551
2021-09-22,137.300003,139.600006,136.399994,137.800003,136.706100,2503517
2021-09-23,139.449997,144.899994,138.899994,143.649994,142.509659,2812285
2021-09-24,145.000000,145.399994,138.750000,139.100006,137.995789,13584558
2021-09-27,139.399994,140.899994,136.750000,138.750000,137.648560,1940097
2021-09-28,140.199997,142.800003,139.100006,140.050003,138.938248,3533370
2021-09-29,139.949997,155.199997,138.800003,151.649994,150.446152,14027185
2021-09-30,152.699997,161.149994,151.250000,158.699997,157.440186,10597602
2021-10-01,158.949997,165.000000,156.600006,163.750000,162.450104,7594339
2021-10-04,166.449997,172.500000,164.000000,168.649994,167.311188,6945731
2021-10-05,169.050003,184.800003,168.350006,179.350006,177.926270,17254901
2021-10-06,183.699997,183.699997,172.750000,175.899994,174.503647,8284841
2021-10-07,178.649994,184.000000,176.899994,177.800003,176.388565,5306093
2021-10-08,181.199997,181.199997,175.000000,176.899994,175.495697,4838164
2021-10-11,178.449997,193.699997,177.100006,191.550003,190.029419,14225237
2021-10-12,195.000000,198.699997,189.850006,195.800003,194.245682,11176901
2021-10-13,201.899994,232.399994,200.000000,224.149994,222.370621,23243319
2021-10-14,235.100006,236.250000,220.699997,222.449997,220.684113,10485773
2021-10-18,232.000000,264.549988,223.199997,257.250000,255.207870,21198652
2021-10-19,269.700012,269.700012,218.750000,230.550003,228.719818,18632205
2021-10-20,225.000000,236.399994,217.350006,230.449997,228.620605,24263982
2021-10-21,234.000000,234.449997,220.550003,226.050003,224.255539,11720700
2021-10-22,228.750000,233.850006,216.100006,222.149994,220.386490,8300717
2021-10-25,225.000000,225.000000,208.000000,213.600006,211.904373,12059781
2021-10-26,215.000000,232.399994,214.399994,225.350006,223.561111,9855758
2021-10-27,231.500000,232.850006,222.600006,224.149994,222.370621,8403726
2021-10-28,225.149994,225.149994,216.750000,218.050003,216.319046,5166836
2021-10-29,210.000000,217.750000,201.199997,214.250000,212.549210,13960052
2021-11-01,219.800003,225.149994,214.399994,223.050003,221.279358,4331221
2021-11-02,227.500000,234.949997,227.250000,228.449997,226.636490,9937198
2021-11-03,230.199997,231.000000,226.300003,228.699997,226.884506,4513743
2021-11-04,232.899994,233.350006,230.699997,231.350006,229.513474,1095942
2021-11-08,233.199997,235.699997,228.800003,234.550003,232.688065,3395230
2021-11-09,237.100006,248.000000,234.699997,242.000000,240.078918,11798133
2021-11-10,241.899994,241.899994,236.350006,237.000000,235.118622,5945571
2021-11-11,237.899994,241.250000,235.550003,239.800003,237.896393,6131047
2021-11-12,242.000000,242.500000,236.000000,239.949997,238.045197,4581376
2021-11-15,242.000000,244.000000,239.449997,241.649994,239.731705,4743354
2021-11-16,243.149994,247.500000,241.399994,244.350006,242.410278,6035504
2021-11-17,245.899994,252.500000,243.149994,249.899994,247.916214,4265570
2021-11-18,250.600006,252.199997,232.449997,236.949997,235.069016,9489188
2021-11-22,239.899994,239.899994,224.149994,227.600006,225.793243,5127972
2021-11-23,224.500000,237.800003,222.050003,236.949997,235.069016,4419085
2021-11-24,240.000000,246.649994,237.449997,238.899994,237.003525,5303429
2021-11-25,239.800003,244.300003,234.000000,242.850006,240.922180,5243402
2021-11-26,237.550003,240.250000,225.850006,227.300003,225.495621,9768642
2021-11-29,224.149994,226.800003,213.300003,218.649994,216.914276,6911083
2021-11-30,222.500000,228.199997,213.199997,216.800003,215.078979,8069591
2021-12-01,220.000000,227.350006,215.050003,225.199997,223.412292,6494457
2021-12-02,231.899994,231.899994,221.250000,226.350006,224.553162,5476547
2021-12-03,226.850006,228.350006,224.399994,225.600006,223.809113,3057835
2021-12-06,225.300003,226.500000,220.199997,220.899994,219.146423,3731831
